"Year","Month","Day","Vessel_ID","catch_kg","Long","Lat","Depth","DayNight","Effort_hr"
1991,2,17,1,80,144.5,41.58,NA,"D",4
1991,3,16,1,80,143.88,41,NA,"D",5
1991,4,9,1,40,144.38,41.61,500,"M",4.5
1987,2,7,1,20,143.96,41.1,548,"D",3.5
1987,3,12,1,30,144.06,41.2,457,"D",3
1987,4,21,1,30,143.86,41.03,475,"D",3.1
1987,4,22,1,60,143.76,40.9,420,"D",2.5
1987,4,22,1,75,143.88,40.98,439,"D",2.1
1987,4,22,1,50,143.76,40.93,457,"D",2.1
1987,4,23,1,30,144.08,41.2,512,"M",2.5
1987,4,23,1,105,143.95,41.08,475,"M",2
1987,4,25,1,130,143.7,40.91,475,"D",3
1987,4,26,1,155,143.88,41.08,475,"M",3
1987,5,16,1,50,144.08,41.2,512,"M",3
1987,5,16,1,20,144.3,41.4,530,"D",3
1987,5,17,1,50,144.3,41.4,530,"M",3
1987,5,18,1,210,143.95,41.06,494,"M",3
1987,5,18,1,105,143.71,41.88,512,"D",3.5
1987,5,18,1,105,142.7,41.03,512,"M",2.5
1987,6,7,1,30,143.86,40.86,450,"D",NA
1987,6,15,1,30,144.45,41.65,565,"D",2
1987,6,24,1,30,139.58,37.73,500,"M",4.5
1987,7,3,1,20,144.01,41.18,550,"D",4
1987,7,3,1,10,144.26,41.33,500,"M",4.5
1987,7,18,1,15,144.06,41.2,515,"M",3
1987,9,23,1,30,144,41.25,800,"D",2
1987,10,17,1,40,144.23,41.36,475,"D",3
1987,11,30,1,100,144.06,41.21,500,"D",4.5
1987,11,30,1,200,144.16,41.38,500,"D",5
1987,12,1,1,100,144,41.21,500,"D",5
1987,12,1,1,50,144.3,41.38,500,"D",4.5
1987,12,7,1,50,144.3,41.35,500,"D",5.5
1987,12,11,1,40,144.06,41.2,510,"D",4.5
1987,12,11,1,40,144.3,41.38,510,"D",4.5
1987,12,18,1,120,141.1,38.55,350,"M",4
1987,12,18,1,160,140.9,38.48,300,"D",3
1987,12,18,1,50,141.11,38.58,500,"D",4
1988,4,7,1,50,141.2,38.68,520,"M",2.5
1988,4,12,1,20,143.73,40.93,530,"D",4.5
1988,4,12,1,40,143.91,41.08,450,"D",4.5
1988,4,13,1,60,144.3,41.5,425,"D",3
1988,4,13,1,50,144.43,41.65,425,"D",4.5
1988,4,14,1,60,144.01,41.18,520,"D",5
1988,4,14,1,35,144.26,41.36,500,"D",4
1988,4,15,1,70,144.06,41.2,520,"M",5
1988,4,21,1,80,144.01,41.18,520,"M",5.5
1988,4,21,1,100,144.3,41.81,520,"D",4.5
1988,4,23,1,250,144.06,41.2,500,"M",5
1988,4,28,1,50,144.01,41.18,500,"M",5
1988,4,29,1,80,144.01,41.18,480,"M",4
1988,5,7,1,100,144.4,41.56,500,"M",4
1988,5,8,1,60,144.4,41.56,500,"M",4
1988,5,8,1,450,144.4,41.56,475,"M",4
1988,5,9,1,250,144.46,41.8,500,"D",2.5
1988,6,4,1,35,144.41,41.61,490,"M",6
1988,6,5,1,60,144.41,41.53,490,"M",5
1988,12,19,1,120,143.41,40.53,500,"D",2
1989,1,4,1,1150,144.01,41.16,530,"D",1
1989,1,6,1,11,144.46,41.78,500,"D",2
1989,1,13,1,1070,144.43,41.63,510,"M",3
1989,1,13,1,10,144.25,41.33,500,"M",4.5
1989,1,20,1,100,144.15,41.2,520,"M",2.6
1989,1,21,1,100,144.33,41.43,515,"D",4
1989,1,21,1,100,144.43,41.65,530,"D",3
1989,1,21,1,200,144.5,41.78,495,"D",3
1989,1,22,1,140,144.28,41.35,500,"D",1.7
1989,1,28,1,50,143.36,40.46,520,"D",3
1989,1,28,1,100,143.46,40.56,520,"D",3
1989,1,28,1,50,143.46,40.55,480,"D",3.5
1989,1,28,1,50,143.56,40.71,480,"N",4.5
1989,1,29,1,282,143.75,40.95,510,"D",4
1989,1,29,1,180,143.91,41.06,540,"N",2
1989,2,4,1,300,143.46,40.6,500,"D",4
1989,2,5,1,300,143.38,40.51,650,"M",4
1989,2,11,1,40,144.33,41.45,510,"D",3
1989,2,11,1,180,144.41,41.65,520,"D",2.5
1989,2,11,1,200,144.35,41.73,500,"M",3
1989,2,11,1,30,144.46,41.63,500,"N",2
1989,2,12,1,160,144.46,41.75,500,"D",4
1989,2,12,1,90,144.41,41.63,500,"D",3
1989,2,13,1,194,144.46,41.6,500,"D",3
1989,2,13,1,300,144.46,41.76,500,"D",3.5
1989,2,14,1,630,144.56,40.73,500,"D",4
1989,2,18,1,390,144.43,41.61,500,"D",4
1989,2,19,1,60,144.38,41.61,500,"D",5
1989,2,19,1,120,144.46,41.76,510,"D",2
1989,2,20,1,120,144.38,41.6,510,"D",3
1989,2,20,1,232,144.46,41.78,510,"D",4
1989,2,28,1,240,143.46,40.56,500,"D",2.5
1989,2,28,1,80,143.46,40.56,500,"D",3
1989,2,28,1,80,143.46,40.56,500,"N",4.5
1989,3,1,1,100,143.46,40.7,500,"M",3
1989,3,1,1,150,143.46,40.7,500,"M",5
1989,3,2,1,510,143.46,40.6,500,"N",4
1989,3,2,1,400,143.46,40.6,500,"D",4
1989,3,2,1,150,143.46,40.6,500,"N",2
1989,3,3,1,420,143.46,40.56,500,"D",4
